mutant-id|timeToExecute|0--0-passes a basic sanity check|1--1-uses it|2--2-uses it
MUTANT 532|2704ms|1|1|1
MUTANT 533|2616ms|1|1|1
MUTANT 534|2582ms|1|1|1
MUTANT 535|2723ms|1|1|1
MUTANT 536|2738ms|1|1|1
MUTANT 538|2902ms|1|1|1
MUTANT 537|2998ms|1|1|1
MUTANT 539|2932ms|1|1|1
MUTANT 540|3398ms|1|1|1
MUTANT 542|3372ms|1|1|1
MUTANT 541|3551ms|1|1|1
MUTANT 543|3353ms|1|1|1
MUTANT 544|3037ms|1|1|1
MUTANT 545|3072ms|1|1|1
MUTANT 546|3053ms|1|1|1
MUTANT 547|3147ms|1|1|1
MUTANT 548|3165ms|1|1|1
MUTANT 550|3240ms|1|1|1
MUTANT 549|3487ms|1|1|1
MUTANT 551|3329ms|1|1|1
MUTANT 552|3320ms|1|1|1
MUTANT 553|3435ms|-2|-2|-2
MUTANT 554|3347ms|-2|-2|-2
MUTANT 555|3573ms|-2|-2|-2
MUTANT 556|3793ms|-2|-2|-2
MUTANT 558|3458ms|-2|-2|-2
MUTANT 557|3521ms|-2|-2|-2
MUTANT 559|3313ms|-2|-2|-2
MUTANT 560|3284ms|1|1|1
MUTANT 561|3191ms|1|1|1
MUTANT 563|3235ms|1|1|1
MUTANT 562|3411ms|1|1|1
MUTANT 564|3385ms|1|1|1
MUTANT 565|3615ms|1|1|1
MUTANT 567|3410ms|-2|-2|-2
MUTANT 566|3663ms|1|1|1
MUTANT 568|3655ms|1|1|1
MUTANT 569|3715ms|1|1|1
MUTANT 570|3779ms|1|1|1
MUTANT 571|3704ms|1|1|1
MUTANT 572|3633ms|1|1|1
MUTANT 573|3714ms|1|1|1
MUTANT 574|3662ms|1|1|1
MUTANT 575|3770ms|1|1|1
MUTANT 576|3924ms|1|1|1
MUTANT 577|4568ms|1|1|1
MUTANT 578|4587ms|1|1|1
MUTANT 579|4352ms|1|1|1
MUTANT 580|5507ms|1|1|1
MUTANT 582|5215ms|1|1|1
MUTANT 581|5338ms|1|1|1
MUTANT 583|5446ms|1|1|1
MUTANT 584|4825ms|1|1|1
MUTANT 586|3900ms|1|1|1
MUTANT 585|3955ms|1|1|1
MUTANT 587|3906ms|1|1|1
MUTANT 588|4108ms|1|1|1
MUTANT 591|3952ms|1|1|1
MUTANT 589|4257ms|1|1|1
MUTANT 590|4278ms|1|1|1
MUTANT 592|4275ms|1|1|1
MUTANT 593|3885ms|1|1|1
MUTANT 595|3838ms|-2|-2|-2
MUTANT 594|3952ms|1|0|0
MUTANT 596|4077ms|1|1|1
MUTANT 598|3950ms|-2|-2|-2
MUTANT 597|4046ms|-2|-2|-2
MUTANT 599|4092ms|-2|-2|-2
MUTANT 600|3923ms|1|1|1
MUTANT 601|3981ms|1|1|1
MUTANT 602|4038ms|-2|-2|-2
MUTANT 603|3882ms|1|1|1
MUTANT 604|3838ms|1|1|1
MUTANT 605|3608ms|-2|-2|-2
MUTANT 607|3525ms|-2|-2|-2
MUTANT 606|3703ms|-2|-2|-2
MUTANT 608|3840ms|-2|-2|-2
MUTANT 610|3867ms|-2|-2|-2
MUTANT 611|3841ms|-2|-2|-2
MUTANT 609|4201ms|1|1|1
MUTANT 612|3827ms|-2|-2|-2
MUTANT 613|4099ms|1|1|1
MUTANT 614|4187ms|1|1|1
MUTANT 615|4060ms|1|0|0
MUTANT 616|4363ms|-2|-2|-2
MUTANT 617|4193ms|1|1|1
MUTANT 618|4121ms|-2|-2|-2
MUTANT 619|4190ms|-2|-2|-2
MUTANT 620|4154ms|1|1|1
MUTANT 623|3871ms|-2|-2|-2
MUTANT 621|4285ms|1|1|1
MUTANT 622|4133ms|1|1|1
MUTANT 624|4307ms|1|1|1
MUTANT 625|4088ms|1|1|1
MUTANT 626|3978ms|1|1|1
MUTANT 627|4185ms|1|1|1
MUTANT 628|3963ms|1|1|1
MUTANT 629|3656ms|-2|-2|-2
MUTANT 630|3706ms|1|1|1
MUTANT 631|3862ms|1|1|1
MUTANT 633|3182ms|1|1|1
MUTANT 634|3167ms|1|0|0
MUTANT 635|3042ms|1|1|1
MUTANT 632|5026ms|1|1|1
MUTANT 636|2891ms|1|1|1
MUTANT 637|2957ms|1|1|1
MUTANT 638|2876ms|1|1|1
MUTANT 639|2983ms|1|1|1
MUTANT 640|3078ms|1|1|1
MUTANT 641|3105ms|1|1|1
MUTANT 642|3190ms|1|1|1
MUTANT 643|3245ms|1|1|1
MUTANT 644|2996ms|1|1|1
MUTANT 645|2932ms|1|1|1
MUTANT 646|3088ms|1|1|1
MUTANT 647|2988ms|1|1|1
MUTANT 648|3129ms|1|1|1
MUTANT 649|3323ms|1|1|1
MUTANT 650|3368ms|1|1|1
MUTANT 651|3509ms|1|1|1
MUTANT 652|3131ms|1|1|1
MUTANT 653|3309ms|1|1|1
MUTANT 654|3081ms|1|1|1
MUTANT 655|3297ms|1|1|1
MUTANT 656|3122ms|1|1|1
MUTANT 657|3118ms|1|1|1
MUTANT 658|3037ms|1|1|1
MUTANT 659|3149ms|1|1|1
MUTANT 660|2747ms|1|1|1
MUTANT 661|2778ms|1|1|1
MUTANT 662|2821ms|1|1|1
MUTANT 663|2824ms|1|1|1
MUTANT 664|2786ms|1|1|1
MUTANT 665|2842ms|1|1|1
MUTANT 666|2799ms|1|1|1
MUTANT 667|2821ms|1|1|1
MUTANT 668|2859ms|1|1|1
MUTANT 669|2830ms|1|1|1
MUTANT 670|2814ms|1|1|1
MUTANT 671|2873ms|1|1|1
MUTANT 672|2896ms|1|1|1
MUTANT 673|2999ms|1|1|1
MUTANT 674|3052ms|1|1|1
MUTANT 675|3134ms|1|1|1
MUTANT 676|3181ms|1|1|1
MUTANT 677|3200ms|1|1|1
MUTANT 678|3073ms|1|1|1
MUTANT 679|3048ms|1|1|1
MUTANT 680|3126ms|1|1|1
MUTANT 682|3212ms|1|1|1
MUTANT 681|3424ms|1|1|1
MUTANT 683|3208ms|1|1|1
MUTANT 684|3403ms|1|1|1
MUTANT 685|3672ms|1|1|1
MUTANT 686|3515ms|1|1|1
MUTANT 687|3486ms|1|1|1
MUTANT 688|3450ms|1|1|1
MUTANT 690|3519ms|1|1|1
MUTANT 689|3664ms|1|1|1
MUTANT 691|3457ms|1|1|1
MUTANT 692|3678ms|1|1|1
MUTANT 693|3693ms|1|1|1
MUTANT 694|3718ms|1|1|1
MUTANT 695|3813ms|1|1|1
MUTANT 696|3911ms|1|1|1
MUTANT 698|3990ms|1|1|1
MUTANT 697|4211ms|1|1|1
MUTANT 699|3977ms|1|1|1
MUTANT 700|4027ms|1|1|1
MUTANT 702|3928ms|1|1|1
MUTANT 701|4039ms|1|1|1
MUTANT 703|4097ms|1|1|1
MUTANT 704|4081ms|1|1|1
MUTANT 705|3791ms|1|1|1
MUTANT 706|3795ms|1|1|1
MUTANT 707|3935ms|1|1|1
MUTANT 708|3953ms|1|1|1
MUTANT 710|3917ms|1|1|1
MUTANT 709|4039ms|1|1|1
MUTANT 711|3939ms|1|1|1
MUTANT 712|3808ms|1|1|1
MUTANT 713|3773ms|1|1|1
MUTANT 714|3845ms|1|1|1
MUTANT 715|3925ms|1|1|1
MUTANT 716|3722ms|1|1|1
MUTANT 717|3625ms|1|1|1
MUTANT 718|3669ms|1|1|1
MUTANT 719|3756ms|1|1|1
