mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 163|3016ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 164|3312ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 165|3313ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 166|3461ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 167|3480ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 168|3392ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 169|3398ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 170|3351ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 171|3388ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 172|3514ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 173|3833ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 174|3495ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 175|3453ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 176|3824ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 177|3839ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 178|3755ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 179|3832ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 180|3466ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 181|3230ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 182|3476ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 183|3159ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 184|3041ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 185|3101ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 186|2870ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 187|2997ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 188|2909ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 189|2767ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 190|2660ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 191|2779ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 192|2630ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 193|2685ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 194|2534ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 195|2644ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 196|2552ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 198|2521ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 197|2727ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 199|2526ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 200|2505ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 201|2492ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 202|2386ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 203|2473ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 204|2435ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 206|2339ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 205|2362ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 207|2399ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 208|2319ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 209|2413ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 210|2440ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 211|2299ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 212|2480ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 213|2288ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 214|2358ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 215|2372ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 216|2229ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 217|2279ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 218|2315ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 219|2251ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 220|2356ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 221|2493ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 222|2436ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 223|2623ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 224|3251ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 225|3417ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 226|3691ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 227|3905ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 228|3791ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 229|4200ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 230|4089ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 231|4150ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 232|4074ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 233|3719ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 234|3793ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 235|3978ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 236|4150ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 238|3802ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 239|3958ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 237|7893ms|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 242|3441ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 243|3905ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 244|4199ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 245|4664ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 246|4186ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 247|4188ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 249|3812ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 250|3823ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 251|3758ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 252|4253ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
